https://fantasyfootballers.org/2017-nfl-qb-quarterback-stats/,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Tm,Pass Yds/Gm,Pass Att,Pass Att/Gm,Pass Comp/Gm,Pass Comp%,Yds /Att,FP /Att,Yds /Comp,Pass TD/Gm,INT /Gm,Sacks /Gm,Rush Att/Gm,Rush Yds/Gm,Rush TDs,GP,FD /Gm,DK /Gm,Season AvgFD,Season AvgDK,Season PassYds,% Inc,Opp,Opp Rank,Opp PosRank,Rush TDs/Gm
Tom Brady,NE,286.06,581,36.31,24.06,66.27,7.96,0.51,11.89,2,0.5,2.19,1.56,1.75,0,16,18.99,20.31,18.99,20.31,286.06,0,NYJ,26,30,0
Ben Roethlisberger,PIT,283.4,561,37.4,24,64.17,7.79,0.46,11.81,1.87,0.93,1.4,1.87,3.13,0,15,18.32,19.18,18.32,19.18,283.4,0,CLE,24,28,0
Carson Palmer,ARI,282.57,267,38.14,23.43,61.42,7.84,0.38,12.06,1.29,1,3.14,2,1.71,0,7,15.62,16.9,15.62,16.9,282.57,0,SEA,8,6,0
Philip Rivers,LAC,282.19,575,35.94,22.5,62.61,7.9,0.47,12.54,1.75,0.63,1.13,1.13,-0.13,0,16,17.53,18.71,17.53,18.71,282.19,0,OAK,25,25,0
Matthew Stafford,DET,277.88,565,35.31,23.19,65.66,7.97,0.48,11.98,1.81,0.63,2.94,1.81,6.13,0,16,17.73,19.1,17.73,19.1,277.88,0,GB,30,27,0
Drew Brees,NO,270.88,536,33.5,24.13,72.01,8.11,0.49,11.23,1.44,0.5,1.25,2.06,0.75,2,16,16.91,17.47,16.91,17.47,270.88,0,CAR,15,14,0.125
Jameis Winston,TB,269.54,442,34,21.69,63.8,7.82,0.46,12.43,1.46,0.85,2.54,2.54,10.38,1,13,16.36,18.28,16.36,18.28,269.54,0,NO,13,16,0.076923077
Alex Smith,KC,269.47,505,33.67,22.73,67.52,8.02,0.58,11.85,1.73,0.33,2.33,4,23.67,1,15,20.01,21.08,20.01,21.08,269.47,0,TEN,19,17,0.066666667
Matt Ryan,ATL,255.94,529,33.06,21.38,64.65,7.8,0.43,11.97,1.25,0.75,1.5,2,8.94,0,16,15.01,15.94,15.01,15.94,255.94,0,LAR,14,8,0
Kirk Cousins,WAS,255.81,540,33.75,21.69,64.26,7.67,0.51,11.8,1.69,0.81,2.56,3.06,11.19,4,16,18.16,19.41,18.16,19.41,255.81,0,NYG,32,32,0.25
