https://fantasyfootballers.org/2019-qb-quarterback-nfl-stats/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Tm,Pass Yds/Gm,Pass Att,Pass Att/Gm,Pass Comp/Gm,Pass Comp%,Yds /Att,FP /Att,Yds /Comp,Pass TD,INT,Sacks,Rush Att,Rush Yds,Rush TDs,GP,FD /Gm,DK /Gm,Season AvgFD,Season AvgDK,Season PassYds,Season PassYds,TDs/Gm,INTs/Gm,Sacks/Gm,Rush Att/Gm,Rush Yds/Gm,Rush TDs/Gm
Jameis Winston,TB,319.31,626,39.13,23.75,60.7,8.27,0.49,13.44,33,30,47,59,250,1,16,20.96,23.34,20.96,23.34,319.31,319.31,2.0625,1.875,2.9375,3.6875,15.625,0.0625
Matthew Stafford,DET,312.38,291,36.38,23.38,64.26,8.59,0.57,13.36,19,5,18,20,66,0,8,21.45,23.32,21.45,23.32,312.38,312.38,2.375,0.625,2.25,2.5,8.25,0
Dak Prescott,DAL,306.38,596,37.25,24.25,65.1,8.31,0.57,12.63,30,11,23,52,277,3,16,21.8,23.24,21.8,23.24,306.38,306.38,1.875,0.6875,1.4375,3.25,17.3125,0.1875
Matt Ryan,ATL,297.73,616,41.07,27.2,66.23,7.33,0.43,10.95,26,14,48,34,147,1,15,18.76,21.29,18.76,21.29,297.73,297.73,1.733333333,0.933333333,3.2,2.266666667,9.8,0.066666667
Jared Goff,LAR,289.88,626,39.13,24.63,62.94,7.53,0.4,11.77,22,16,22,33,40,2,16,16.47,17.91,16.47,17.91,289.88,289.88,1.375,1,1.375,2.0625,2.5,0.125
Philip Rivers,LAC,288.44,591,36.94,24.38,65.99,8.19,0.4,11.83,23,20,34,12,29,0,16,15.97,17.66,15.97,17.66,288.44,288.44,1.4375,1.25,2.125,0.75,1.8125,0
Patrick Mahomes,KC,287.93,484,34.57,22.79,65.91,8.17,0.59,12.64,26,5,17,43,218,2,14,20.86,22.5,20.86,22.5,287.93,287.93,1.857142857,0.357142857,1.214285714,3.071428571,15.57142857,0.142857143
Drew Brees,NO,270.82,378,34.36,25.55,74.34,7.86,0.59,10.6,27,4,12,9,-4,1,11,20.8,22.16,20.8,22.16,270.82,270.82,2.454545455,0.363636364,1.090909091,0.818181818,-0.363636364,0.090909091
Andy Dalton,CIN,268.77,528,40.62,24.15,59.47,6.54,0.38,11.13,16,14,37,32,73,4,13,16.7,17.97,16.7,17.97,268.77,268.77,1.230769231,1.076923077,2.846153846,2.461538462,5.615384615,0.307692308
Russell Wilson,SEA,256.88,516,32.25,21.31,66.09,8.19,0.64,12.05,31,5,48,75,342,3,16,20.85,21.54,20.85,21.54,256.88,256.88,1.9375,0.3125,3,4.6875,21.375,0.1875
Deshaun Watson,HOU,256.8,495,33,22.2,67.27,7.89,0.65,11.57,26,12,44,82,413,7,15,22.17,23,22.17,23,256.8,256.8,1.733333333,0.8,2.933333333,5.466666667,27.53333333,0.466666667
